epoch,train_loss,val_loss,precision,recall,mAP50,mAP50-95,learning_rate,timestamp
1,0,8.34496,0.43443,0.01852,0.03098,0.01587,5.7159999999999995e-05,2025-11-15 14:44:34
2,0,6.472090000000001,1.0,0.27427,0.33579,0.29385,0.00012648793499999997,2025-11-15 14:44:39
3,0,4.8724,0.6633,0.75085,0.76747,0.54794,0.00019345801999999998,2025-11-15 14:44:44
4,0,4.03029,0.80028,0.75,0.76638,0.54689,0.000258070255,2025-11-15 14:44:49
5,0,4.73465,0.65819,0.73148,0.73587,0.52786,0.00032032464,2025-11-15 14:44:55
6,0,5.02431,0.83535,0.80556,0.81478,0.51958,0.000380221175,2025-11-15 14:45:00
7,0,4.36897,0.70697,0.77172,0.73386,0.47191,0.00043775986,2025-11-15 14:45:05
8,0,4.52583,0.62926,0.75,0.75761,0.48672,0.000492940695,2025-11-15 14:45:10
9,0,5.02196,0.66214,0.82537,0.76798,0.48743,0.00054576368,2025-11-15 14:45:14
10,0,4.61632,0.5918,0.80243,0.80477,0.48542,0.000596228815,2025-11-15 14:45:22
11,0,4.32406,0.73448,0.86111,0.77188,0.48783,0.0006443361,2025-11-15 14:45:27
12,0,3.80098,0.64532,0.85563,0.76449,0.54352,0.0006900855349999999,2025-11-15 14:45:32
13,0,3.81119,0.6622,0.8371,0.79298,0.51996,0.0007334771199999999,2025-11-15 14:45:36
14,0,3.98004,0.77674,0.80556,0.78226,0.52604,0.0007745108549999999,2025-11-15 14:45:41
15,0,3.9368700000000003,0.5592,0.86111,0.70127,0.46049,0.0008131867399999999,2025-11-15 14:45:46
16,0,4.0969999999999995,0.63419,0.91667,0.82276,0.57487,0.0008495047749999999,2025-11-15 14:45:51
17,0,4.302090000000001,0.6885,0.78704,0.7359,0.52407,0.0008834649600000001,2025-11-15 14:45:55
18,0,3.99531,0.70667,0.80556,0.78499,0.59131,0.0009150672949999999,2025-11-15 14:46:00
19,0,3.66901,0.86984,0.82139,0.83972,0.61327,0.0009443117799999999,2025-11-15 14:46:05
20,0,4.25491,0.82689,0.80556,0.80119,0.52685,0.000971198415,2025-11-15 14:46:09
21,0,3.96517,0.919,0.73148,0.82823,0.56789,0.00095743,2025-11-15 14:46:14
22,0,4.17896,0.89325,0.78704,0.83789,0.57726,0.0009338514999999999,2025-11-15 14:46:19
23,0,4.00058,0.89695,0.7706,0.83146,0.5688,0.000910273,2025-11-15 14:46:24
24,0,3.91165,0.86824,0.87963,0.88415,0.55751,0.0008866945,2025-11-15 14:46:29
25,0,3.64058,0.84423,0.87963,0.88608,0.59199,0.0008631159999999999,2025-11-15 14:46:35
26,0,3.46184,0.83224,0.89815,0.88562,0.59526,0.0008395374999999999,2025-11-15 14:46:40
27,0,3.50518,0.90958,0.86111,0.88099,0.59845,0.0008159589999999999,2025-11-15 14:46:48
28,0,3.5071199999999996,0.95448,0.89653,0.89168,0.58123,0.0007923804999999999,2025-11-15 14:46:57
29,0,3.42814,0.90117,0.87106,0.88572,0.59026,0.000768802,2025-11-15 14:47:02
30,0,3.36264,0.82969,0.86111,0.87877,0.59507,0.0007452234999999999,2025-11-15 14:47:05
31,0,3.3625999999999996,0.85287,0.89154,0.87558,0.59909,0.0007216449999999999,2025-11-15 14:47:14
32,0,3.25117,0.87247,0.86042,0.88447,0.6145,0.0006980664999999999,2025-11-15 14:47:22
33,0,3.34913,0.85957,0.86888,0.87751,0.5995,0.000674488,2025-11-15 14:47:26
34,0,3.3310700000000004,0.81639,0.91667,0.87306,0.59549,0.0006509094999999999,2025-11-15 14:47:41
35,0,3.08294,0.90408,0.82407,0.84967,0.59914,0.000627331,2025-11-15 14:47:47
36,0,3.1193099999999996,0.80258,0.84259,0.83808,0.59859,0.0006037525,2025-11-15 14:47:56
37,0,3.3812100000000003,0.87458,0.84259,0.88545,0.60139,0.000580174,2025-11-15 14:48:06
38,0,3.42713,0.89824,0.84259,0.88878,0.59583,0.0005565955,2025-11-15 14:48:14
39,0,3.27345,0.91085,0.84641,0.87176,0.62141,0.0005330170000000001,2025-11-15 14:48:22
40,0,3.25113,0.83039,0.83971,0.85042,0.61623,0.0005094384999999999,2025-11-15 14:48:28
41,0,3.47346,0.90531,0.80556,0.83299,0.58123,0.00048586,2025-11-15 14:48:34
42,0,3.4242,0.88427,0.82407,0.85919,0.602,0.0004622815,2025-11-15 14:48:40
43,0,3.20158,0.8302,0.86111,0.86286,0.62279,0.00043870300000000003,2025-11-15 14:48:44
44,0,3.0968999999999998,0.84451,0.87963,0.87151,0.64268,0.00041512449999999996,2025-11-15 14:48:50
45,0,3.1175800000000002,0.8414,0.87963,0.85554,0.6374,0.0003915460000000001,2025-11-15 14:48:57
46,0,3.11163,0.87615,0.86111,0.84056,0.62331,0.0003679675,2025-11-15 14:49:07
47,0,3.06616,0.87275,0.84904,0.84479,0.63157,0.00034438899999999996,2025-11-15 14:49:16
48,0,2.89793,0.81837,0.91367,0.85377,0.63699,0.0003208105,2025-11-15 14:49:22
49,0,2.9097999999999997,0.80381,0.89217,0.85452,0.63948,0.0002972319999999999,2025-11-15 14:49:33
50,0,2.9791600000000003,0.7904,0.88016,0.83863,0.63586,0.0002736535,2025-11-15 14:49:39
51,0,2.9598899999999997,0.80502,0.91667,0.86167,0.62344,0.00025007499999999994,2025-11-15 14:50:25
52,0,2.98675,0.841,0.89815,0.87262,0.61035,0.00022649650000000003,2025-11-15 14:50:34
53,0,2.9656599999999997,0.84589,0.89815,0.87765,0.61302,0.00020291799999999998,2025-11-15 14:50:41
54,0,2.95491,0.85702,0.89815,0.88018,0.61465,0.00017933950000000002,2025-11-15 14:50:49
55,0,2.92116,0.86669,0.89003,0.87641,0.62302,0.00015576099999999995,2025-11-15 14:50:58
56,0,2.91066,0.89848,0.85256,0.87451,0.63883,0.00013218250000000004,2025-11-15 14:51:06
57,0,2.9047099999999997,0.80006,0.89815,0.83483,0.63489,0.00010860399999999998,2025-11-15 14:51:14
58,0,2.87819,0.8012,0.89815,0.83425,0.63464,8.502550000000006e-05,2025-11-15 14:51:25
59,0,2.87599,0.81823,0.91667,0.87177,0.64098,6.1447e-05,2025-11-15 14:51:34
60,0,2.86848,0.81776,0.90639,0.87821,0.64827,3.786850000000007e-05,2025-11-15 14:51:42
60,0,0,0.8072720723722709,0.8796296296296297,0.8688383743616002,0.6322255134927903,3.786850000000007e-05,2025-11-15 14:51:50
60,0,0,0.8072720723722709,0.8796296296296297,0.8688383743616002,0.6322255134927903,0.001,2025-11-15 14:51:51
